"Split","Time","Moving Time","GetDistance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:00:19    ","00:00:19    ","0.10","0","0","00:03:17    ","00:02:54    ","00:02:48    ","77","107","197","83","89","23","2"
"2","00:00:18    ","00:00:18    ","0.10","0","0","00:03:05    ","00:02:57    ","00:02:51    ","97","98","166","97","105","23","6"
"3","00:00:18    ","00:00:18    ","0.10","0","0","00:03:00    ","00:03:02    ","00:03:01    ","97","98","171","112","120","23","5"
"4","00:00:47    ","00:00:47    ","0.10","0","0","00:07:54    ","00:06:45    ","00:03:01    ","67","97","94","132","142","22","5"
"5","00:00:28    ","00:00:28    ","0.03","0","0","00:13:32    ","00:13:40    ","00:13:38    ","55","56","67","107","120","22","0"
"6","00:00:18    ","00:00:18    ","0.10","0","0","00:03:09    ","00:04:24    ","00:03:00    ","89","103","177","105","114","22","4"
"7","00:00:18    ","00:00:18    ","0.10","0","0","00:03:01    ","00:02:57    ","00:02:56    ","98","99","168","128","139","22","5"
"8","00:00:55    ","00:00:55    ","0.10","3","0","00:09:19    ","00:07:31    ","00:02:59    ","72","98","74","137","155","22","5"
"9","00:00:32    ","00:00:32    ","0.06","0","0","00:08:24    ","00:09:12    ","00:08:01    ","77","84","77","121","128","21","2"
"10","00:00:18    ","00:00:18    ","0.10","0","0","00:03:00    ","00:04:07    ","00:02:55    ","96","102","173","128","131","21","4"
"11","00:00:16    ","00:00:16    ","0.10","0","1","00:02:50    ","00:02:52    ","00:02:51    ","98","99","180","139","148","21","5"
"12","00:00:17    ","00:00:17    ","0.10","0","2","00:02:50    ","00:02:50    ","00:02:50    ","99","100","178","155","163","21","5"
"13","00:01:00    ","00:01:00    ","0.10","0","0","00:10:01    ","00:07:59    ","00:02:51    ","66","98","76","149","172","21","4"
"14","00:00:12    ","00:00:12    ","0.02","0","0","00:11:57    ","00:12:00    ","00:11:21    ","73","77","57","128","129","21","0"
"15","00:00:17    ","00:00:17    ","0.10","0","0","00:02:59    ","00:04:08    ","00:02:50    ","91","103","184","127","136","21","4"
"16","00:00:17    ","00:00:17    ","0.10","2","0","00:02:58    ","00:02:51    ","00:02:48    ","98","101","171","147","155","21","5"
"17","00:00:54    ","00:00:54    ","0.10","1","0","00:09:05    ","00:07:54    ","00:02:55    ","72","96","76","154","164","20","4"
"18","00:00:45    ","00:00:45    ","0.09","0","0","00:08:48    ","00:09:32    ","00:09:05    ","82","83","69","125","148","20","2"
"19","00:00:17    ","00:00:17    ","0.10","0","1","00:02:51    ","00:04:27    ","00:02:50    ","95","105","183","109","115","20","4"
"20","00:00:17    ","00:00:17    ","0.10","0","0","00:02:50    ","00:02:47    ","00:02:47    ","99","100","178","121","128","20","5"
"21","00:00:17    ","00:00:17    ","0.10","0","1","00:02:54    ","00:02:51    ","00:02:49    ","98","99","176","135","142","20","5"
"22","00:01:01    ","00:01:01    ","0.10","0","1","00:10:12    ","00:08:41    ","00:02:53    ","68","96","72","143","158","20","4"
"23","00:00:13    ","00:00:13    ","0.02","0","0","00:11:54    ","00:10:50    ","00:10:35    ","79","79","53","136","138","20","0"
"24","00:00:17    ","00:00:17    ","0.10","0","0","00:02:57    ","00:03:46    ","00:02:49    ","96","103","177","135","137","20","4"
"25","00:00:17    ","00:00:17    ","0.10","0","0","00:02:56    ","00:02:50    ","00:02:49    ","99","100","172","143","154","20","5"
"26","00:00:52    ","00:00:52    ","0.10","3","0","00:08:44    ","00:07:41    ","00:02:53    ","73","99","78","155","164","20","6"
"27","00:00:49    ","00:00:49    ","0.09","0","0","00:09:22    ","00:09:52    ","00:09:23    ","80","81","66","138","155","20","2"
"28","00:00:17    ","00:00:17    ","0.10","0","0","00:02:50    ","00:03:57    ","00:02:42    ","96","105","183","124","130","20","4"
"29","00:00:16    ","00:00:16    ","0.10","0","0","00:02:48    ","00:02:45    ","00:02:43    ","99","101","180","138","150","20","5"
"30","00:00:17    ","00:00:17    ","0.10","0","2","00:02:50    ","00:02:49    ","00:02:48    ","99","100","178","162","168","20","5"
"31","00:01:01    ","00:01:01    ","0.10","0","1","00:10:14    ","00:08:29    ","00:02:50    ","69","100","71","153","172","19","4"
"32","00:00:08    ","00:00:08    ","0.02","0","0","00:08:53    ","00:09:00    ","00:08:52    ","81","81","69","136","139","20","0"
"33","00:00:17    ","00:00:17    ","0.10","0","0","00:02:51    ","00:04:06    ","00:02:50    ","98","105","179","141","143","20","4"
"34","00:00:17    ","00:00:17    ","0.10","3","0","00:02:53    ","00:02:46    ","00:02:43    ","100","102","173","148","159","20","5"
"35","00:00:57    ","00:00:57    ","0.10","0","0","00:09:40    ","00:07:59    ","00:02:50    ","65","98","79","147","167","19","6"
"36","00:01:03    ","00:01:03    ","0.09","0","1","00:12:00    ","00:08:57    ","00:08:08    ","61","83","68","125","134","19","5"
"37","00:00:17    ","00:00:17    ","0.10","0","0","00:02:51    ","00:02:42    ","00:02:33    ","80","105","172","120","125","19","4"
"38","00:00:16    ","00:00:16    ","0.10","0","1","00:02:42    ","00:02:36    ","00:02:33    ","99","100","186","144","160","19","5"
"39","00:00:16    ","00:00:16    ","0.10","0","0","00:02:48    ","00:02:42    ","00:02:39    ","99","100","180","165","170","19","5"
"40","00:00:57    ","00:00:57    ","0.10","0","1","00:09:33    ","00:07:45    ","00:02:48    ","73","98","72","159","175","19","4"
"41","00:00:12    ","00:00:12    ","0.02","0","0","00:11:52    ","00:11:12    ","00:11:04    ","79","79","53","152","154","19","0"
"42","00:00:17    ","00:00:17    ","0.10","0","0","00:02:53    ","00:04:20    ","00:02:53    ","95","106","182","156","158","19","4"
"43","00:00:17    ","00:00:17    ","0.10","3","0","00:02:55    ","00:02:53    ","00:02:51    ","101","102","170","154","161","19","5"
"44","00:00:58    ","00:00:58    ","0.10","1","1","00:09:45    ","00:08:03    ","00:02:55    ","69","98","74","157","174","19","4"
"45","00:00:54    ","00:00:54    ","0.09","0","0","00:10:12    ","00:10:52    ","00:10:05    ","79","82","62","135","143","19","2"
"46","00:00:16    ","00:00:16    ","0.10","0","1","00:02:48    ","00:04:17    ","00:02:48    ","97","105","184","133","140","19","3"
"47","00:00:16    ","00:00:16    ","0.10","0","0","00:02:45    ","00:02:44    ","00:02:43    ","101","102","180","130","136","19","5"
"48","00:00:16    ","00:00:16    ","0.10","0","2","00:02:49    ","00:02:46    ","00:02:44    ","99","102","179","142","149","19","5"
"49","00:01:03    ","00:01:03    ","0.10","0","1","00:10:32    ","00:08:59    ","00:02:49    ","62","96","77","148","167","19","3"
"50","00:00:18    ","00:00:18    ","0.02","0","0","00:13:17    ","00:13:39    ","00:13:35    ","54","55","69","115","120","19","0"
"51","00:00:17    ","00:00:17    ","0.10","0","0","00:02:50    ","00:03:32    ","00:02:38    ","93","104","189","122","135","19","4"
"52","00:00:16    ","00:00:16    ","0.10","0","0","00:02:42    ","00:02:39    ","00:02:37    ","104","105","178","140","151","19","5"
"53","00:00:59    ","00:00:59    ","0.10","3","1","00:09:51    ","00:07:43    ","00:02:41    ","68","106","74","154","162","19","4"
"54","00:01:08    ","00:01:08    ","0.09","0","0","00:12:56    ","00:12:31    ","00:11:17    ","59","76","66","119","143","19","2"
"55","00:00:16    ","00:00:16    ","0.10","0","0","00:02:50    ","00:03:43    ","00:02:39    ","90","106","195","112","125","19","4"
"56","00:00:16    ","00:00:16    ","0.10","0","0","00:02:47    ","00:02:43    ","00:02:40    ","99","100","181","131","140","19","5"
"57","00:00:16    ","00:00:16    ","0.10","0","1","00:02:48    ","00:02:47    ","00:02:45    ","98","99","182","145","153","19","5"
"58","00:01:02    ","00:01:02    ","0.10","0","2","00:10:30    ","00:09:07    ","00:02:49    ","62","95","77","147","161","19","3"
"59","00:00:16    ","00:00:16    ","0.02","0","0","00:13:18    ","00:13:28    ","00:13:25    ","55","56","68","115","118","19","2"
"60","00:00:17    ","00:00:17    ","0.10","0","0","00:02:57    ","00:04:00    ","00:02:52    ","92","103","185","115","128","19","3"
"61","00:00:17    ","00:00:17    ","0.10","0","0","00:02:53    ","00:02:55    ","00:02:54    ","99","100","175","136","147","19","5"
"62","00:01:01    ","00:01:01    ","0.10","3","0","00:10:17    ","00:08:27    ","00:02:55    ","65","98","75","149","158","19","4"
"63","00:00:52    ","00:00:52    ","0.08","0","0","00:10:23    ","00:10:34    ","00:10:14    ","78","81","61","149","158","19","2"
"64","00:00:17    ","00:00:17    ","0.10","0","0","00:02:53    ","00:04:08    ","00:02:50    ","97","105","179","153","159","19","4"
"65","00:00:17    ","00:00:17    ","0.10","0","0","00:02:50    ","00:02:48    ","00:02:47    ","99","99","178","146","153","19","5"
"66","00:00:16    ","00:00:16    ","0.10","0","1","00:02:46    ","00:02:48    ","00:02:46    ","98","100","184","162","170","19","5"
"67","00:00:50    ","00:00:50    ","0.10","0","2","00:08:20    ","00:07:37    ","00:02:48    ","76","97","79","171","178","19","4"
"68","00:00:10    ","00:00:10    ","0.02","0","0","00:09:44    ","00:08:36    ","00:08:34    ","83","84","61","170","170","19","0"
